iter	Passed	Remaining
0	8	4142
1	11	2969
2	21	3635
3	31	3848
4	35	3526
5	41	3409
6	50	3572
7	54	3329
8	63	3446
9	66	3271
10	72	3231
11	79	3232
12	83	3143
13	93	3241
14	101	3277
15	106	3218
16	109	3118
17	116	3121
18	120	3045
19	124	2976
20	133	3036
21	137	2980
22	142	2947
23	148	2942
24	150	2863
25	156	2847
26	159	2801
27	167	2816
28	172	2804
29	178	2802
30	184	2788
31	189	2776
32	197	2788
33	202	2779
34	207	2751
35	214	2767
36	220	2762
37	224	2734
38	234	2776
39	241	2781
40	245	2749
41	248	2713
42	254	2702
43	257	2672
44	265	2684
45	270	2665
46	277	2677
47	282	2659
48	290	2673
49	295	2662
50	303	2675
51	307	2647
52	310	2619
53	314	2600
54	319	2586
55	321	2547
56	323	2517
57	330	2521
58	339	2534
59	344	2522
60	348	2511
61	352	2489
62	357	2482
63	361	2465
64	367	2461
65	371	2440
66	377	2436
67	379	2408
68	388	2426
69	390	2400
70	395	2387
71	400	2378
72	409	2393
73	417	2403
74	421	2387
75	426	2380
76	431	2372
77	438	2372
78	443	2361
79	447	2350
80	453	2347
81	455	2322
82	460	2313
83	465	2304
84	471	2302
85	473	2277
86	476	2262
87	481	2255
88	485	2240
89	488	2224
90	494	2223
91	502	2229
92	507	2220
93	514	2221
94	521	2223
95	526	2217
96	534	2218
97	537	2204
98	542	2195
99	548	2192
100	552	2181
101	555	2166
102	560	2159
103	565	2154
104	570	2145
105	575	2137
106	581	2137
107	583	2118
108	590	2116
109	597	2119
110	601	2109
111	607	2105
112	611	2092
113	614	2080
114	618	2069
115	621	2056
116	623	2040
117	626	2027
118	628	2013
119	629	1994
120	634	1987
121	638	1976
122	642	1969
123	644	1954
124	648	1944
125	650	1930
126	652	1916
127	655	1904
128	657	1891
129	659	1877
130	662	1864
131	664	1851
132	666	1838
133	668	1825
134	670	1812
135	672	1800
136	673	1785
137	676	1774
138	678	1761
139	680	1749
140	682	1738
141	684	1726
142	687	1715
143	689	1704
144	691	1693
145	694	1683
146	696	1673
147	698	1661
148	700	1650
149	702	1639
150	705	1629
151	707	1618
152	709	1608
153	711	1598
154	713	1588
155	715	1577
156	717	1567
157	719	1558
158	722	1549
159	725	1540
160	727	1531
161	730	1523
162	731	1512
163	733	1502
164	735	1492
165	737	1484
166	740	1475
167	742	1467
168	744	1457
169	746	1449
170	749	1441
171	750	1431
172	752	1423
173	755	1414
174	757	1407
175	759	1398
176	761	1389
177	763	1381
178	766	1374
179	768	1367
180	771	1358
181	773	1350
182	775	1343
183	777	1334
184	779	1326
185	781	1319
186	784	1312
187	785	1303
188	788	1297
189	791	1290
190	793	1282
191	795	1275
192	797	1268
193	799	1261
194	802	1254
195	804	1247
196	806	1240
197	808	1232
198	811	1227
199	814	1221
200	817	1215
201	820	1210
202	822	1203
203	825	1197
204	827	1191
205	831	1187
206	834	1181
207	837	1175
208	840	1169
209	842	1163
210	845	1157
211	846	1150
212	848	1143
213	851	1137
214	854	1132
215	855	1125
216	858	1119
217	861	1114
218	862	1107
219	866	1103
220	869	1097
221	871	1090
222	873	1085
223	876	1079
224	877	1073
225	880	1067
226	882	1061
227	884	1055
228	886	1048
229	888	1042
230	890	1036
231	891	1030
232	893	1023
233	895	1018
234	897	1012
235	899	1006
236	901	1000
237	903	994
238	905	988
239	907	983
240	909	977
241	911	971
242	913	966
243	915	960
244	916	954
245	919	948
246	920	943
247	922	937
248	924	932
249	926	926
250	928	921
251	930	915
252	932	910
253	933	904
